# scenario_set=independent_sensitivity_tuning
# seed=20260702
# grid_size=19
# num_trials=300
# num_clues=4
# num_robots=4
# clue_weight=1/((1+manhattan_distance)**1.0)
trial_id,episode,object_x,object_y,target_x,target_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
44,44,8,9,8,9,7,9,3,14,11,6,5,4
45,45,12,7,12,7,1,10,10,13,0,9,9,5
46,46,7,2,7,2,3,10,13,12,5,5,12,4
47,47,0,14,0,14,1,16,0,10,0,15,6,13
48,48,8,15,8,15,7,15,9,17,3,16,13,14
49,49,14,17,14,17,14,18,6,11,5,16,16,15
50,50,4,10,4,10,11,18,3,8,1,11,13,3
51,51,3,11,3,11,4,10,2,8,2,10,12,5
52,52,15,10,15,10,14,12,15,9,16,11,14,2
53,53,13,16,13,16,12,16,9,18,11,4,18,3
54,54,8,3,8,3,8,4,5,1,8,10,8,15
55,55,7,8,7,8,9,14,4,9,18,10,5,8
56,56,13,15,13,15,3,5,13,3,13,8,15,10
57,57,11,12,11,12,11,7,8,12,8,10,4,0
58,58,8,4,8,4,4,10,9,1,7,6,8,2
59,59,1,6,1,6,1,11,6,9,1,5,14,8
60,60,5,15,5,15,7,13,13,12,2,11,2,6
61,61,2,11,2,11,12,3,2,10,11,18,3,6
62,62,5,13,5,13,10,16,6,7,0,9,3,18
63,63,7,3,7,3,5,7,9,11,6,18,8,3
64,64,10,10,10,10,9,15,15,12,8,6,13,11
65,65,11,1,11,1,6,7,9,0,18,14,10,1
66,66,7,0,7,0,0,2,18,1,10,14,8,2
67,67,2,10,2,10,2,11,0,4,0,10,3,18
68,68,2,6,2,6,2,8,16,1,14,11,11,12
69,69,10,13,10,13,5,6,7,5,17,2,18,14
70,70,17,9,17,9,13,18,3,6,16,9,12,16
71,71,4,6,4,6,4,17,15,9,11,12,7,14
72,72,14,11,14,11,9,8,16,13,11,12,17,6
73,73,13,15,13,15,16,14,14,17,13,5,12,10
74,74,17,1,17,1,7,5,0,13,9,7,13,1
75,75,3,9,3,9,8,16,2,9,3,18,1,5
76,76,1,18,1,18,2,18,6,17,1,16,15,1
77,77,7,12,7,12,12,15,9,15,14,10,7,6
78,78,11,14,11,14,17,2,13,10,1,8,11,16
79,79,10,2,10,2,10,11,7,1,2,10,10,6
80,80,10,1,10,1,3,1,10,10,7,7,18,12
81,81,0,4,0,4,8,5,12,18,2,6,3,3
82,82,9,0,9,0,11,3,8,2,9,14,2,7
83,83,7,13,7,13,4,13,2,3,2,7,10,10
84,84,14,6,14,6,15,4,13,10,13,0,10,17
85,85,9,18,9,18,5,13,3,8,14,18,6,17
86,86,9,13,9,13,11,13,9,4,14,5,5,16
87,87,18,18,18,18,6,7,13,11,8,4,17,14
88,88,3,14,3,14,3,16,3,13,1,14,11,17
89,89,11,5,11,5,5,5,12,9,7,15,11,7
90,90,8,12,8,12,12,11,4,9,9,0,11,11
91,91,6,1,6,1,5,1,3,4,3,0,8,4
92,92,1,10,1,10,1,12,13,8,16,12,11,9
93,93,8,16,8,16,3,7,11,0,9,3,9,17
94,94,12,7,12,7,17,4,15,9,14,8,9,13
95,95,17,7,17,7,7,9,2,11,12,11,14,8
96,96,13,7,13,7,13,17,13,15,12,14,11,4
97,97,0,1,0,1,18,6,9,1,5,2,4,2
98,98,14,5,14,5,7,5,15,11,11,15,12,8
99,99,8,1,8,1,15,5,5,16,10,4,8,0
100,100,3,7,3,7,4,12,11,13,3,11,14,5
101,101,14,5,14,5,10,1,12,14,13,4,11,7
102,102,1,10,1,10,1,3,0,17,11,4,8,13
103,103,15,15,15,15,6,18,15,14,1,16,11,15
104,104,12,4,12,4,12,1,12,5,7,0,8,1
105,105,17,10,17,10,17,11,17,14,9,3,10,11
106,106,17,3,17,3,11,3,15,7,13,7,18,3
107,107,13,10,13,10,5,11,7,3,12,17,16,7
108,108,9,1,9,1,12,14,14,3,15,4,15,1
109,109,4,3,4,3,12,2,6,7,2,2,10,7
110,110,10,13,10,13,15,4,3,7,0,7,4,5
111,111,0,15,0,15,10,0,12,17,16,15,5,14
112,112,12,7,12,7,12,6,13,10,7,10,5,5
113,113,2,9,2,9,17,9,8,8,5,11,7,18
114,114,17,12,17,12,17,8,16,15,3,14,0,5
115,115,13,16,13,16,14,1,8,17,13,17,6,6
116,116,7,8,7,8,10,0,3,14,10,18,4,4
117,117,11,5,11,5,16,0,10,2,9,2,5,12
118,118,15,14,15,14,12,10,17,14,10,3,17,6
119,119,6,1,6,1,1,4,8,7,16,8,14,6
120,120,12,0,12,0,15,9,18,13,8,3,16,16
121,121,0,1,0,1,5,1,4,4,4,3,1,1
122,122,5,11,5,11,12,15,9,18,3,10,11,14
123,123,8,14,8,14,6,6,9,16,18,16,14,14
124,124,17,9,17,9,15,15,18,15,2,13,18,11
125,125,6,5,6,5,3,9,4,7,9,1,15,0
126,126,14,16,14,16,9,12,8,5,1,9,16,8
127,127,10,12,10,12,4,4,5,8,12,8,9,15
128,128,2,13,2,13,4,16,4,15,10,14,7,8
129,129,9,17,9,17,5,11,9,18,2,17,17,11
130,130,2,18,2,18,0,15,7,12,1,15,11,17
131,131,6,14,6,14,5,14,2,8,11,0,3,16
132,132,2,11,2,11,18,15,12,3,15,11,5,12
133,133,12,7,12,7,15,11,5,6,18,8,1,12
134,134,5,4,5,4,2,15,3,7,5,5,9,5
135,135,18,9,18,9,14,5,5,4,3,14,1,10
136,136,13,0,13,0,10,15,13,1,13,8,1,11
137,137,12,4,12,4,12,15,12,6,12,5,11,2
138,138,0,3,0,3,4,0,13,9,10,7,3,10
139,139,11,15,11,15,14,10,14,7,10,13,12,17
140,140,1,7,1,7,4,13,13,11,2,14,6,8
141,141,9,8,9,8,15,2,14,16,11,8,9,9
142,142,10,3,10,3,11,6,11,1,12,2,17,8
143,143,16,15,16,15,14,10,15,11,16,12,17,13
144,144,9,7,9,7,11,6,11,7,9,5,9,3
145,145,12,17,12,17,12,12,14,17,10,18,11,10
146,146,12,12,12,12,14,3,14,16,8,12,3,16
147,147,1,14,1,14,2,9,4,13,0,14,5,13
148,148,14,16,14,16,9,8,6,14,2,16,16,17
149,149,14,13,14,13,18,6,14,10,17,3,17,12
150,150,8,15,8,15,12,6,1,18,10,16,14,11
151,151,3,6,3,6,7,10,6,9,18,12,10,12
152,152,12,8,12,8,14,12,10,3,3,9,12,3
153,153,8,17,8,17,16,14,8,18,18,0,1,0
154,154,10,7,10,7,9,14,4,9,11,6,16,3
155,155,12,0,12,0,15,0,5,3,11,2,16,12
156,156,5,13,5,13,8,16,5,16,18,10,4,8
157,157,16,8,16,8,8,7,15,4,18,18,4,4
158,158,5,9,5,9,11,3,1,13,0,17,11,17
159,159,16,4,16,4,17,3,14,2,15,6,18,4
160,160,1,6,1,6,9,11,0,4,5,7,11,17
161,161,5,14,5,14,17,7,14,11,18,5,3,12
162,162,17,2,17,2,0,3,16,5,18,0,5,3
163,163,18,17,18,17,14,2,5,17,18,18,16,13
164,164,5,18,5,18,3,0,3,18,7,16,2,16
165,165,4,3,4,3,0,5,3,9,10,0,17,16
166,166,2,15,2,15,8,16,10,8,16,16,18,18
167,167,14,5,14,5,14,12,13,6,2,6,11,4
168,168,12,7,12,7,17,18,15,10,11,13,14,14
169,169,8,14,8,14,8,9,8,13,5,8,5,0
170,170,6,18,6,18,8,15,9,15,17,0,1,3
171,171,13,2,13,2,13,4,2,9,5,11,13,0
172,172,15,14,15,14,16,13,14,15,2,10,12,11
173,173,9,3,9,3,9,10,6,2,8,7,12,3
174,174,10,0,10,0,8,2,2,1,8,3,7,5
175,175,16,12,16,12,15,12,4,3,5,12,15,4
176,176,2,12,2,12,1,3,0,4,3,14,9,18
177,177,11,4,11,4,8,4,4,18,4,4,10,9
178,178,1,7,1,7,10,16,6,0,0,17,7,16
179,179,13,7,13,7,3,9,13,6,10,7,15,11
180,180,4,8,4,8,8,11,1,17,6,8,14,18
181,181,10,12,10,12,5,14,6,7,3,0,9,9
182,182,7,4,7,4,8,0,4,12,13,2,7,1
183,183,13,2,13,2,4,7,8,3,15,16,15,10
184,184,3,18,3,18,1,17,3,8,4,2,12,13
185,185,4,15,4,15,10,13,6,3,3,9,6,12
186,186,2,7,2,7,5,12,2,1,3,1,9,10
187,187,16,9,16,9,15,5,5,18,10,8,3,8
188,188,11,13,11,13,11,11,15,0,10,10,2,9
189,189,16,1,16,1,10,6,5,4,14,0,10,1
190,190,14,6,14,6,17,1,13,14,11,2,17,9
191,191,8,5,8,5,11,2,10,3,12,13,13,1
192,192,6,9,6,9,5,0,9,0,14,9,15,4
193,193,4,3,4,3,14,11,6,4,13,6,3,9
194,194,6,8,6,8,16,8,5,7,8,14,2,12
195,195,11,15,11,15,12,17,16,15,10,18,8,12
196,196,3,9,3,9,5,3,5,14,1,13,5,8
197,197,2,11,2,11,12,8,2,9,7,14,4,13
198,198,13,1,13,1,17,16,0,17,13,10,10,1
199,199,4,12,4,12,4,11,9,1,13,17,3,11
200,200,13,14,13,14,18,5,11,6,13,16,13,12
201,201,1,10,1,10,12,4,2,12,13,18,7,12
202,202,3,0,3,0,3,7,6,17,11,4,13,1
203,203,2,10,2,10,2,14,11,2,2,15,5,10
204,204,14,8,14,8,15,2,12,7,7,6,8,17
205,205,0,14,0,14,1,17,4,16,0,15,1,1
206,206,6,8,6,8,7,8,6,5,9,8,7,6
207,207,4,18,4,18,10,15,14,3,3,0,6,2
208,208,10,4,10,4,9,14,16,1,7,2,0,1
209,209,2,6,2,6,14,5,3,12,2,4,6,4
210,210,18,18,18,18,14,4,18,13,16,16,17,15
211,211,10,1,10,1,10,3,13,1,12,5,0,15
212,212,18,4,18,4,14,7,9,7,15,4,0,1
213,213,9,14,9,14,7,16,5,15,18,17,15,8
214,214,17,4,17,4,10,4,15,2,10,13,9,5
215,215,5,5,5,5,10,5,11,9,16,1,5,6
216,216,0,17,0,17,7,10,2,8,5,18,1,13
217,217,0,2,0,2,3,1,14,6,10,3,2,0
218,218,16,4,16,4,12,9,8,0,14,11,16,1
219,219,4,18,4,18,0,4,5,5,3,4,15,0
220,220,18,7,18,7,14,18,3,12,18,8,16,18
221,221,9,0,9,0,12,0,13,3,5,11,10,6
222,222,13,10,13,10,7,6,17,13,3,16,3,8
223,223,11,10,11,10,16,11,9,9,8,4,10,11
224,224,16,12,16,12,16,8,12,4,3,6,13,5
225,225,8,3,8,3,18,16,10,0,1,7,8,1
226,226,12,4,12,4,11,5,10,2,10,13,14,17
227,227,15,10,15,10,18,3,13,6,11,5,14,14
228,228,12,17,12,17,13,11,2,8,10,15,11,18
229,229,2,12,2,12,6,11,11,16,11,9,5,14
230,230,14,3,14,3,17,5,11,3,14,8,15,8
231,231,10,14,10,14,1,9,5,12,3,18,16,18
232,232,1,9,1,9,13,17,2,8,2,6,13,2
233,233,0,5,0,5,2,4,5,3,1,4,9,4
234,234,6,17,6,17,4,15,5,11,11,16,1,18
235,235,18,11,18,11,11,3,15,11,11,10,15,12
236,236,14,16,14,16,12,15,14,15,5,6,9,16
237,237,10,3,10,3,6,13,1,7,3,3,12,1
238,238,16,8,16,8,11,6,17,4,11,9,16,5
239,239,2,14,2,14,1,0,3,10,13,16,2,17
240,240,14,3,14,3,14,5,11,0,10,10,9,4
241,241,5,16,5,16,2,15,9,18,5,15,16,12
242,242,17,7,17,7,0,9,7,7,11,12,3,0
243,243,15,0,15,0,14,2,2,14,10,0,3,0
244,244,1,17,1,17,10,16,16,14,2,17,6,4
245,245,8,13,8,13,12,4,8,11,16,12,15,17
246,246,16,4,16,4,10,4,10,10,14,4,9,5
247,247,16,17,16,17,15,17,17,5,7,18,2,12
248,248,0,17,0,17,4,10,0,1,8,12,1,5
249,249,2,0,2,0,16,18,2,1,7,15,1,12
250,250,12,3,12,3,12,5,3,7,17,12,16,13
251,251,0,3,0,3,11,2,6,7,13,13,3,6
252,252,13,15,13,15,2,14,11,15,13,14,11,8
253,253,7,17,7,17,1,14,6,18,4,0,6,2
254,254,11,1,11,1,16,17,10,2,14,14,2,1
255,255,2,11,2,11,3,13,5,8,1,6,4,14
256,256,4,17,4,17,13,5,3,8,3,3,7,14
257,257,4,9,4,9,6,8,10,7,0,11,11,5
258,258,6,2,6,2,11,0,9,8,16,1,3,2
259,259,6,17,6,17,17,3,9,14,7,12,18,15
260,260,2,16,2,16,3,17,4,17,17,5,12,4
261,261,4,18,4,18,5,18,8,17,11,18,4,14
262,262,3,10,3,10,9,9,0,13,4,0,2,10
263,263,2,3,2,3,0,5,7,7,8,10,10,11
264,264,3,4,3,4,13,1,6,3,10,15,14,9
265,265,12,5,12,5,12,8,9,14,11,7,8,16
266,266,10,0,10,0,8,3,3,4,17,7,3,0
267,267,8,4,8,4,2,8,14,2,3,3,11,4
268,268,6,3,6,3,4,4,7,8,8,3,5,2
269,269,14,4,14,4,13,10,16,4,9,8,18,4
270,270,9,9,9,9,7,16,8,9,1,8,13,12
271,271,12,0,12,0,14,10,5,5,5,10,5,13
272,272,12,17,12,17,16,15,4,12,7,12,10,6
273,273,12,14,12,14,14,4,14,14,10,16,8,10
274,274,13,14,13,14,18,13,13,17,13,5,14,14
275,275,10,8,10,8,14,5,18,13,11,8,11,13
276,276,7,4,7,4,14,13,9,3,6,10,10,3
277,277,18,11,18,11,16,7,10,7,12,10,5,5
278,278,1,13,1,13,4,11,7,6,9,11,10,5
279,279,4,11,4,11,7,13,6,10,10,2,7,17
280,280,14,6,14,6,12,5,2,1,17,4,8,7
281,281,10,16,10,16,10,3,10,12,2,0,18,16
282,282,6,14,6,14,5,14,18,11,7,15,4,4
283,283,8,10,8,10,5,5,17,8,5,16,8,2
284,284,14,6,14,6,9,15,11,0,2,18,4,9
285,285,7,14,7,14,11,14,7,16,2,16,16,11
286,286,7,3,7,3,17,12,10,5,16,7,4,8
287,287,18,13,18,13,18,11,18,16,15,5,18,12
288,288,17,11,17,11,18,10,0,5,16,10,18,6
289,289,6,6,6,6,8,6,3,4,6,14,16,13
290,290,14,4,14,4,18,7,16,14,15,4,6,0
291,291,6,0,6,0,4,3,5,0,1,18,5,4
292,292,3,16,3,16,2,5,13,16,4,14,5,15
293,293,8,5,8,5,0,10,15,2,6,7,18,12
294,294,7,5,7,5,0,7,0,2,4,1,14,0
295,295,17,10,17,10,14,11,12,18,8,4,11,12
296,296,6,9,6,9,12,7,7,8,18,3,13,14
297,297,0,9,0,9,1,3,9,4,11,18,0,1
298,298,12,7,12,7,13,16,11,11,4,13,15,6
299,299,12,1,12,1,4,1,5,1,3,0,9,3
